p2_uplift_seminarWI
Conversion;Treatment;VisitorKnown;ViewsOnSale;ViewedBeforePageCART;HadBasketAdd;WasConvertedBefore;TimeSinceLastVisit;TimeSinceLastConversion;TimeOnProduct;TimeOnOverview;TimeOnSale;ClicksPerProduct;ChannelPaid;TimeToFirstSearch;TimeToFirstOverview;TimeToFirstProduct;TimeToFirstCART;TimeToFirstSale;TimeSinceFirstCART;NrDifferentProduct;TimeToBasketAdd;BasketQuantity;NormalizedBasketSum;TimeSinceClick;TimeSinceTabSwitch;ScreenWidth;DurationLastVisit;HourOfDay;PageIsHome;PageIsSearch;PageIsProduct;PageIsOverview;PageIsSale
1;1;0;0;0;0;0;;;;18009;;;1;;8;;;;;0;;0;1;1;3;1920;;18;0;0;0;1;0
0;1;0;0;0;0;0;;;0;205196;;0;0;;14;233;;;;1;;0;1;2;;1366;;17;0;0;1;0;0
0;1;0;0;0;0;0;;;;64299;;;0;;0;;;;;0;;0;1;2;;1920;;14;0;0;0;1;0
0;1;0;0;0;0;0;;;;104785;;;0;;25;;;;;0;;0;1;5;23;1024;;19;0;0;0;1;0
0;1;0;0;0;0;0;;;;59472;;;0;;0;;;;;0;;0;1;5;;1440;;19;0;0;0;1;0
0;1;0;0;0;0;0;;;39082;52100;;0;0;;0;30;;;;4;;0;1;7;7;1680;;9;0;0;0;1;0
0;1;1;0;0;0;0;;;;3218;;;0;;0;;;;;0;;0;1;2;9;1366;;17;0;0;0;1;0
0;1;1;0;0;0;0;3403241;;0;99742;;0;0;;0;19;;;;1;;0;1;2;;1366;570;19;0;0;0;1;0
0;1;0;0;0;0;0;;;;251865;;;0;;14;;;;;0;;0;1;1;30;1280;;14;0;0;0;1;0
0;1;0;0;0;0;0;;;0;26928;;0;0;;10;46;;;;1;;0;1;1;13;1600;;11;0;0;0;1;0
0;1;0;0;0;0;0;;;75504;52931;;;0;;0;9;;;;2;;0;1;2;;1600;;1;0;0;0;1;0
0;1;0;0;0;0;0;;;5492;38657;;0;0;;0;41;;;;1;;0;1;6;6;1680;;14;0;0;0;1;0
0;1;0;0;0;0;0;;;61326;54151;;;0;;460;385;;;;4;;0;1;1;218;1680;;8;0;0;0;1;0
0;1;1;0;0;0;0;;;6181;118740;;2;0;;0;118;;;;1;;0;1;2;;1920;;14;0;0;0;1;0
0;1;0;0;0;0;0;;;;120035;;;0;;0;;;;;0;;0;1;4;;1366;;12;0;0;0;1;0
0;1;1;0;0;0;0;2592221;;;53985;;;0;;0;;;;;0;;0;1;1;;2560;329;15;0;0;0;1;0
0;1;0;0;0;0;0;;;0;64778;;0;0;;0;72;;;;1;;0;1;1;;1152;;17;0;0;1;0;0
0;1;0;0;0;0;0;;;5074;66933;;0;0;;0;51;;;;1;;0;1;3;22;1366;;15;0;0;0;1;0
0;1;1;0;0;0;0;3193967;;0;39081;;0;0;;13;54;;;;1;;0;1;3;40;1600;450;14;0;0;1;0;0
0;1;0;5;0;0;0;;;;;38703;;0;;;;;13;;0;;0;1;3;;1280;;16;1;0;0;0;0
0;1;0;4;0;0;0;;;29169;;62235;2;0;;;95;;28;;2;;0;1;1;3;1366;;20;0;0;1;0;0
1;1;1;0;1;0;1;5127;5127;;;;;0;;;;9;;139;0;;0;1;13;;1280;568;18;0;0;0;0;0
1;1;0;0;1;1;0;;;95769;75230;;;0;;0;389;481;;61;3;446;2;94;2;;1600;;20;0;0;1;0;0
0;1;1;0;0;0;0;3497121;;;43350;;;0;;540;;;;;0;;0;1;11;;1024;908;8;0;0;0;1;0
0;1;0;0;0;0;0;;;0;57209;;0;0;;0;64;;;;1;;0;1;3;;1600;;20;0;0;0;1;0
0;1;0;2;0;0;0;;;0;63777;5469;0;0;;2;82;;76;;1;;0;1;3;;1280;;12;0;0;0;0;1
1;1;0;0;0;0;0;;;0;10581;;0;0;;13;26;;;;1;;0;1;0;3;1920;;13;0;0;1;0;0
